"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0653",1,0,"climate",NA,52,57,12,33
"control","BB-W1-0653",3,0,"climate",NA,63,89,25,33
"control","BB-W1-0653",11,0,"climate",NA,64,75,28,22
"control","BB-W1-0653",18,0,"climate",NA,2,44,4,32
"control","BB-W1-0653",23,0,"climate",NA,4,43,0,0
"control","BB-W1-0669",5,0,"climate",NA,40,40,24,40
"control","BB-W1-0669",10,0,"climate",NA,33,33,0,16
"control","BB-W1-0669",20,0,"climate",NA,19,14,9,56
"control","BB-W1-0669",21,0,"climate",NA,0,3,3,0
"control","BB-W1-0669",24,0,"climate",NA,53,53,10,44
"control","BB-W1-0677",4,0,"climate",NA,100,72,100,100
"control","BB-W1-0677",6,0,"climate",NA,50,50,0,0
"control","BB-W1-0677",7,0,"climate",NA,77,84,26,23
"control","BB-W1-0677",22,0,"climate",NA,49,50,0,0
"control","BB-W1-0677",25,0,"climate",NA,100,100,100,100
"control","BB-W1-0678",5,0,"climate",NA,85,63,0,18
"control","BB-W1-0678",12,0,"climate",NA,67,62,0,0
"control","BB-W1-0678",14,0,"climate",NA,58,36,0,0
"control","BB-W1-0678",19,0,"climate",NA,42,52,0,0
"control","BB-W1-0678",23,0,"climate",NA,42,40,0,28
"control","BB-W1-0681",6,0,"climate",NA,57,89,75,70
"control","BB-W1-0681",7,0,"climate",NA,64,76,69,74
"control","BB-W1-0681",13,0,"climate",NA,70,68,60,82
